Date,Magnet_Temp,Magnet_Field,Field_SetPoint,VTI_Temp,Sample_Temp,NV_Percent,Temp_SetPoint
2022-10-03 10:59:03.817790,296.214,-0.0000,0.00000,295.684,296.286,100.000,0.0000
2022-10-03 11:59:42.891721,296.199,-0.0000,0.00000,295.685,291.481,100.000,0.0000
2022-10-03 13:33:07.683426,285.615,0.0000,0.00000,None,None,None,None
2022-10-03 13:34:06.491349,285.472,-0.0000,0.00000,284.922,224.908,100.000,0.0000

Date,Magnet_Temp,Magnet_Field,Field_SetPoint,Sample_Temp,VTI_Temp,PT2_Temp,NV_Pressure,NV_Percent,SampleTemp_SetPt
2022-10-03 15:03:38.656023,272.573,0.0000,0.00000,269.6396K,264.7677K,207.2562K,5.1910mB,100.0000%,None
2022-10-03 15:15:42.164640,270.736,0.0000,0.00000,266.9294,261.9503,205.4169,5.2656mB,100.0000%,4.0000

Date,Magnet_Temp(K),Magnet_Field(T),Field_SetPoint(T),Sample_Temp(K),VTI_Temp(K),PT2_Temp(K),NV_Pressure(mB),NV_Percent,SampleTemp_SetPt(K)
2022-10-03 15:23:04.466201,269.622,-0.0000,0.00000,265.2458,260.1792,204.2646,5.3131,100.0000%,1.7000
2022-10-03 15:26:54.775422,269.074,0.0000,0.00000,264.3566,259.2968,203.6984,5.3472,100.0000%,1.7000
2022-10-03 15:29:31.560955,268.700,0.0000,0.00000,263.7466,258.7172,203.3104,5.3546,100.0000%,1.7000
2022-10-03 17:30:01.532308,250.846,0.0000,0.00000,236.9157,232.1784,187.1514,5.9750,100.0000%,1.7000
2022-10-03 19:30:33.831212,233.702,0.0000,0.00000,212.9340,208.6102,172.3122,6.4758,100.0000%,1.7000
2022-10-03 21:31:07.338377,217.403,-0.0000,0.00000,192.3547,188.5812,158.9605,6.9199,100.0000%,1.7000
2022-10-03 23:31:36.776102,201.933,-0.0000,0.00000,174.4397,171.0101,146.4998,7.2997,100.0000%,1.7000
2022-10-04 01:32:08.401931,187.126,0.0000,0.00000,158.5413,155.6441,134.3194,7.7029,100.0000%,1.7000
2022-10-04 03:32:39.822866,172.775,0.0000,0.00000,144.4908,141.8018,122.5383,8.1552,100.0000%,1.7000
2022-10-04 05:33:10.631835,158.874,0.0001,0.00000,131.1855,128.7287,110.1008,8.8912,100.0000%,1.7000
2022-10-04 07:33:42.872814,145.089,0.0000,0.00000,118.2914,116.1009,99.0762,9.7878,100.0000%,1.7000
2022-10-04 09:34:16.294463,131.069,0.0000,0.00000,105.7600,103.7411,88.5235,10.0850,91.2871%,1.7000
2022-10-04 11:34:49.743104,116.985,0.0000,0.00000,93.6036,91.8951,78.3652,10.0751,82.1973%,1.7000
2022-10-04 13:35:23.473503,102.118,-0.0000,0.00000,82.0526,80.5964,68.4538,10.0781,76.3561%,1.7000
2022-10-04 15:35:56.879714,85.817,-0.0000,0.00000,70.3384,69.2473,58.5911,10.0614,70.7683%,1.7000
2022-10-04 17:36:31.380465,66.543,0.0000,0.00000,57.9563,57.1712,47.7661,10.0756,64.0330%,1.7000
2022-10-04 19:37:04.906166,36.382,0.0000,0.00000,40.2806,39.5945,29.3547,10.4249,50.9758%,1.7000
2022-10-04 21:37:36.973803,3.522,-0.0000,0.00000,2.2825,1.7216,3.6524,10.5792,27.2221%,1.7000
2022-10-04 23:38:11.921594,3.436,-0.0000,0.00000,1.8739,1.7006,3.5590,9.7207,31.0246%,1.7000
2022-10-05 01:38:45.339768,3.434,-0.0000,0.00000,1.9035,1.7000,3.5605,9.7166,28.3925%,1.7000
2022-10-05 03:39:18.818738,3.459,0.0000,0.00000,2.1616,1.7109,3.5987,10.1498,27.2831%,1.7000
2022-10-05 05:39:53.328101,3.445,0.0000,0.00000,2.1774,1.7121,3.5831,10.2747,30.7897%,1.7000
2022-10-05 07:40:26.953058,3.426,-0.0000,0.00000,1.8412,1.6971,3.5528,9.6861,29.5766%,1.7000
2022-10-05 09:41:00.668737,3.451,-0.0001,0.00000,2.0652,1.7061,3.5850,10.0030,27.2206%,1.7000
2022-10-05 10:13:17.761931,3.427,0.0000,0.00000,1.8420,1.6980,3.5539,9.6711,30.2770%,1.7000
2022-10-05 10:20:10.608374,3.425,-0.0001,0.00000,1.8839,1.7004,3.5506,9.7860,31.2795%,1.7000
